frame,matches,cx,cy,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y,kcx,kcy,ktl_x,ktl_y,ktr_x,ktr_y,kbl_x,kbl_y,kbr_x,kbr_y
53,129,320.36383,212.88422,357.88272,310.61258,260.7144,346.8981,366.50208,110.54576,269.13342,78.95333,321.13922,213.88385,352.2119,309.45996,260.97565,351.1978,366.56934,111.58033,258.36304,20.10721
54,134,321.1182,211.68666,349.8901,290.9006,247.03413,374.76425,362.32092,122.192085,226.70918,-49.154648,321.32724,213.7988,350.76135,303.21393,257.7754,358.4185,365.41608,114.796234,250.05669,-3.480294
55,144,321.6682,211.69864,356.46375,321.48795,270.04102,330.96695,369.59253,102.34023,283.74304,91.57105,321.87427,213.57104,351.1806,306.05283,261.68866,352.42035,366.4786,112.01241,259.2059,15.091491
56,149,321.77792,210.82452,356.11966,315.29715,262.00443,344.67517,365.3753,114.43542,278.59055,78.95169,322.25952,212.68904,352.03946,307.75027,262.32782,350.63058,366.14163,113.00291,265.65396,31.337755
57,132,321.70844,211.11505,363.85504,326.14352,266.13226,334.49164,370.14487,104.9796,279.07892,94.34841,322.72195,211.59029,355.18573,312.5939,263.9793,346.02005,367.31818,110.87769,270.80893,49.494
58,143,321.9343,209.5907,357.30423,306.29953,221.86401,437.9806,357.16776,130.38463,235.15538,-28.41719,322.63025,211.19522,355.79636,310.73965,252.40686,372.2032,364.49274,116.49697,261.89325,28.258108
59,135,320.3221,212.34671,262.58194,93.00289,290.23035,275.3842,406.93558,33.258224,305.20993,180.99992,320.01514,218.67752,329.07523,247.88521,262.44376,347.22128,376.45108,93.24697,274.62497,70.81208
60,128,321.35925,211.13927,366.36447,336.6997,272.38324,319.9136,374.495,94.64512,283.67035,105.607994,320.79028,216.1476,336.66687,265.69504,265.8058,338.75336,377.11536,91.43567,278.9778,84.772896
61,145,320.73523,210.6585,358.02182,323.30368,262.75992,336.01428,368.11606,109.52924,278.7261,83.27727,320.82794,214.71487,341.1509,277.99908,265.60297,336.86664,375.51627,94.76602,280.39734,88.10068
62,132,318.90332,211.7775,361.6926,321.09552,258.79187,334.25848,370.2203,108.55403,272.84753,93.68358,320.56146,213.34714,345.80096,287.49146,264.40436,334.77197,374.78772,97.201805,280.08063,93.83019
63,147,318.13455,211.84172,358.0833,314.83853,255.29367,342.46573,366.83298,111.91336,268.31522,82.92787,319.93286,212.68129,348.87912,294.11703,262.37076,335.40182,373.16992,100.332985,278.35464,95.16279
64,145,316.155,212.44632,364.26462,319.5502,253.53429,333.7974,371.30328,106.97487,263.1595,94.04672,318.97168,212.25502,352.99695,300.82657,260.18402,334.0234,372.8961,101.77483,275.29294,98.06406
65,154,314.9655,212.26021,368.5588,328.98416,257.02023,326.66895,372.3592,100.45072,265.25015,103.60578,317.86633,212.01382,357.4328,308.67682,259.25507,331.21823,372.91208,101.35183,273.20645,102.46573
66,132,313.65125,211.93437,365.5747,311.4856,242.49527,343.67633,368.33856,112.047585,248.46268,86.52183,316.46924,212.07693,360.06323,310.48895,255.13582,333.28168,371.93747,103.78028,267.5026,101.109055
67,148,312.21115,211.39406,380.35367,336.45575,251.41852,322.47125,376.09247,96.25495,259.49442,114.3135,315.25,211.77495,365.63132,317.71494,253.76558,330.1312,372.9064,102.17464,265.30298,106.35892
68,149,311.90567,211.1015,372.4358,317.0084,242.87492,332.75342,373.0045,104.89346,247.2594,97.60905,313.88327,211.85214,368.46756,319.3247,250.73833,329.8468,373.0301,102.74648,260.7282,106.8164
69,155,311.80988,210.86913,374.0949,317.51498,242.74217,329.8561,375.62732,102.4171,246.67365,98.96143,312.73813,211.8937,371.1187,320.61343,248.17824,329.05994,373.70767,102.69109,256.7324,107.22826
70,157,311.49457,210.85092,374.42853,317.1433,241.70529,330.54004,375.00607,103.426025,244.13455,96.70114,311.74835,211.92151,373.27054,321.3978,245.86188,328.64667,374.13913,102.86273,252.86462,106.7772
71,153,311.6458,210.89458,375.2949,317.3613,241.87827,330.5129,375.3061,103.25882,243.31555,96.216415,311.01736,211.92975,375.1187,321.91064,244.02579,328.38516,374.5561,102.972855,249.50461,106.030365
72,156,311.6395,210.86687,377.59033,319.15656,244.23972,324.286,379.44763,98.32813,244.79436,100.73987,310.53714,211.89375,376.88843,322.45404,243.16566,326.9781,375.7505,102.01942,247.23566,106.059166
